model,brand,sub-category
5240524,Swarovski,Jewelry
5241294,Swarovski,Jewelry
5135946,Swarovski,Houseware
5268849,Swarovski,Pens
5226495,Swarovski,Jewelry
5217807,Swarovski,Jewelry
5267091,Swarovski,Jewelry
5237768,Swarovski,Jewelry
5216630,Swarovski,Jewelry
5230604,Swarovski,Jewelry
5230612,Swarovski,Jewelry
5230611,Swarovski,Jewelry
5216636,Swarovski,Jewelry
5216639,Swarovski,Jewelry
5230603,Swarovski,Jewelry
5226281,Swarovski,Jewelry
5226391,Swarovski,Jewelry
5226277,Swarovski,Jewelry
5226278,Swarovski,Jewelry
5258513,Swarovski,Jewelry
5236077,Swarovski,Jewelry
5236076,Swarovski,Jewelry
5217719,Swarovski,Jewelry
5230657,Swarovski,Jewelry
5231806,Swarovski,Jewelry
5230668,Swarovski,Jewelry
5230286,Swarovski,Jewelry
5217790,Swarovski,Jewelry
5230283,Swarovski,Jewelry
5206436,Swarovski,Jewelry
5231330,Swarovski,Jewelry
5230724,Swarovski,Jewelry
5230547,Swarovski,Jewelry
5266934,Swarovski,Jewelry
5266933,Swarovski,Jewelry
5230673,Swarovski,Jewelry
5230676,Swarovski,Jewelry
5217646,Swarovski,Jewelry
5230675,Swarovski,Jewelry
5230678,Swarovski,Jewelry
5233913,Swarovski,Jewelry
5224896,Swarovski,Jewelry
5236117,Swarovski,Jewelry
5236115,Swarovski,Jewelry
5237056,Swarovski,Jewelry
5237054,Swarovski,Jewelry
5237170,Swarovski,Jewelry
5217642,Swarovski,Jewelry
5237055,Swarovski,Jewelry
5216049,Swarovski,Jewelry
5238110,Swarovski,Jewelry
5224975,Swarovski,Jewelry
5225712,Swarovski,Jewelry
5224980,Swarovski,Jewelry
5240525,Swarovski,Jewelry
5224976,Swarovski,Jewelry
5217137,Swarovski,Jewelry
5230555,Swarovski,Jewelry
5217135,Swarovski,Jewelry
5216907,Swarovski,Jewelry
5216908,Swarovski,Jewelry
5241517,Swarovski,Jewelry
5222339,Swarovski,Jewelry
5226100,Swarovski,Jewelry
5222341,Swarovski,Jewelry
5226299,Swarovski,Jewelry
5258790,Swarovski,Jewelry
5223601,Swarovski,Houseware
5223602,Swarovski,Houseware
5223620,Swarovski,Houseware
5223252,Swarovski,Houseware
5240581,Swarovski,Jewelry
5229470,Swarovski,Jewelry
5226039,Swarovski,Jewelry
5217804,Swarovski,Jewelry
5226037,Swarovski,Jewelry
5226033,Swarovski,Jewelry
5225834,Swarovski,Jewelry
5225831,Swarovski,Jewelry
5225833,Swarovski,Jewelry
5239033,Swarovski,Jewelry
5239028,Swarovski,Jewelry
5226195,Swarovski,Jewelry
5226203,Swarovski,Jewelry
5226202,Swarovski,Jewelry
5236116,Swarovski,Jewelry
5226101,Swarovski,Jewelry
5218397,Swarovski,Jewelry
5264884,Swarovski,Houseware
5225733,Swarovski,Jewelry
5232160,Swarovski,Jewelry
791991EN118,Pandora,Jewelry
791999CZRMX,Pandora,Jewelry
792008CZ,Pandora,Jewelry
USB796519,Pandora,Jewelry
USB796900,Pandora,Jewelry
CAMAW160001,Pandora,Jewelry
