brand, joma_model, final_price, availability, shipping, type_of_sale, model
T-Classic Desire Men's Watch,T52.2.481.13,$199.99,In Stock.,Free Shipping,Cyber Monday Sale,T52248113
Parsifal Ladies Watch,9440-STS-97081,"$1,383.90",Ships In 3 - 5 Days.,Free Shipping,"",9440-STS-97081
Chronograph Black Ion-plated Men's Watch,CH2601,$79.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,CH2601
Chain Link Acrylic Gold-tone Ladies Watch,MK4222,$129.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK4222
Decker Chronograph Stainless Steel Black Dial Men's Watch,CH2600,$68.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,CH2600
UF6 Black Dial Black Leather Strap Ladies Watch,609021,$423.00,Out of Stock,"","",609021
UF6 Black Dial Chronograph Ladies Watch,609010,$937.50,Out of Stock,"","",609010
Luno Men's Watch,0606378,$359.99,Out of Stock,"",Cyber Monday Sale,0606378
G Timeless Men's Stainless Steel Bracelet Watch,YA126401,$458.20,Ships In 1 - 2 Weeks.,Free Shipping,Pre-Black Friday Sale,YA126401
G Timeless Men's Watch,YA126402,$419.00,Ships In 1 - 3 Days.,Free Shipping,Black Friday Sale,YA126402
Full-Blooded Chronograph Beige Aluminum Ladies Watch,SVCK4047AG,$109.00,Ships In 1 - 3 Days.,Free Shipping,Cyber Monday Sale,SVCK4047AG
Black Dial Black Silicone Strap Men's Watch,1790708,$57.75,Out of Stock,"",Cyber Monday Sale,1790708
Chronograph Black Dial Black Ceramic Men's Watch,AR1400,$274.99,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,AR1400
Classic Chronograph Black Dial Steel Men's Watch,AR2434,$173.29,In Stock.,Free Shipping,Cyber Monday Sale,AR2434
Chronograph Black Dial Men's Watch,AR2447,$164.99,Ships In 1 - 3 Days.,Free Shipping,Cyber Monday Sale,AR2447
Chronograph Navy Blue Dial Steel Bracelet Men's Watch,AR2448,$179.00,In Stock.,Free Shipping,Cyber Monday Sale,AR2448
Dylan Black Silicone Strap Men's Watch,MK8152,$136.00,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK8152
Chronograph Men's Watch,SNAB97,$158.00,Ships In 1 - 3 Days.,Free Shipping,"",SNAB97
Eco Drive Two Tone Men's Watch,BM6734-55E,$173.42,Out of Stock,"","",BM6734-55E
Black Dial Black Leather Men's Watch,233XXLSLB,$68.00,In Stock.,$5.99 Shipped,Cyber Monday Sale,233XXLSLB
PRS 516 Automatic Men's Watch,T044.430.21.031.00,$395.00,In Stock.,Free Shipping,Cyber Monday Sale,T0444302103100
PRS516 Automatic Black Dial Men's Watch,T044.430.21.051.00,$389.00,Out of Stock,"",Cyber Monday Sale,T0444302105100
T-Touch II Men's Analog-Digital Watch,T047.420.44.207.00,$606.00,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,T0474204420700
Glitz White Dial Stainless Steel Ladies Watch,ES2362,$57.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,ES2362
Originals White Rebel Men's Watch,SUOW701,$49.99,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SUOW701
Black Rebel Men's Watch,SUOB702,$48.77,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SUOB702
Blue Rebel Men's Watch,SUON700,$48.77,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SUON700
125 G- Series Bracelet Ladies Watch,YA125401,$459.00,In Stock.,Free Shipping,Black Friday Sale,YA125401
125 G- Series Watch,YA125503,$448.00,In Stock.,Free Shipping,Black Friday Sale,YA125503
Classic Men's Watch,YA126404,$529.00,Ships In 1 Day.,Free Shipping,Black Friday Sale,YA126404
Runway Twist Chronograph Gold-tone Ladies Watch,MK3131,$134.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK3131
Parker Silver Dial Stainless Steel Chronograph Ladies Watch,MK5353,$147.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,Mk5353
G-Shock Digital Black Men's Watch,GD100-1A,$81.00,Out of Stock,"","",GD100-1A
PRS516 Blue Dial Chronograph Men's Watch T0444172104100,T0444172104100,$325.00,In Stock.,Free Shipping,Cyber Monday Sale,T0444172104100
Ceramica Chronograph Black Dial Men's Watch,AR1410,$289.00,In Stock.,Free Shipping,Cyber Monday Sale,AR1410
Runway Chronograph Gold Dial Rose Gold-tone Ladies Watch,MK5128,$134.99,Out of Stock,"",Cyber Monday Sale,MK5128
Sailing Touch Men's Watch,T056.420.27.031.00,$349.99,In Stock.,Free Shipping,Cyber Monday Sale,T0564202703100
T-Race White Dial Steel Case Men's Watch,T048.417.27.037.00,$377.00,In Stock.,Free Shipping,Cyber Monday Sale,T0484172703700
T-Race Black Dial Men's Watch,T048.417.27.057.00,$389.00,In Stock.,Free Shipping,Cyber Monday Sale,T0484172705700
T-Race Men's Watch,T048.417.27.057.01,$390.00,In Stock.,Free Shipping,Cyber Monday Sale,T0484172705701
T-Race Men's Watch,T048.417.27.057.02,$389.00,In Stock.,Free Shipping,Cyber Monday Sale,T0484172705702
T-Race Men's Watch,T048.417.27.057.04,$390.00,In Stock.,Free Shipping,Cyber Monday Sale,T0484172705704
Riley Multifunction Rose Gold-plated Ladies Watch,ES2811,$73.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,ES2811
T-Sport T-Race Quartz Men's Watch,T0484172705703,$369.00,In Stock.,Free Shipping,Cyber Monday Sale,T0484172705703
Corso Eco Drive Black Dial Stainless Steel Men's Watch,BM7100-59E,$147.38,In Stock.,Free Shipping,Cyber Monday Sale,BM7100-59E
Black Dial Black Rubber Strap Men's Watch,BN0085-01E,$169.00,In Stock.,Free Shipping,Cyber Monday Sale,BN0085-01E
Baby G White Resin Digital Ladies Watch,BG169R-7A,$49.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,BG169R-7A
Classic Eco Drive Men's Watch,BM7090-51A,$97.50,In Stock.,$5.99 Shipped,Cyber Monday Sale,BM7090-51A
Runway Chronograph Rose Gold-tone Men's Watch,MK8096,$147.99,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,MK8096
Jake Chronograph Brown Leather Strap Men's Watch,JR1157,$66.99,In Stock.,$5.99 Shipped,Black Friday Sale,JR1157
White Classiness White Silicone Ladies Watch,SFK360,$77.71,Out of Stock,"","",SFK360
Black Classiness Black Silicone Ladies Watch,SFK361,$77.71,Out of Stock,"","",SFK361
Sailing Touch Black Dial Men's Watch,T0564202705100,$475.00,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,T0564202705100
Originals Gents Blue Choco Watch,GM415,$42.54,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",GM415
Normandie Mother of Pearl Dial Eco-Drive Ladies Watch,EW9870-81D,$164.99,Out of Stock,"",Cyber Monday Sale,EW9870-81D
Decker Chronograph Silver Dial Stainless Steel Ladies Watch,ES2681,$68.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,ES2681
Parker Crystal Chronograph Champagne Dial Gold-tone Ladies Watch,MK5354,$147.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,Mk5354
Sailing Touch Unisex Watch,T0564201701600,$875.00,Ships In 1 - 2 Weeks.,Free Shipping,"",T0564201701600
Formula 1 White Ceramic Ladies Watch WAH1213BA0861,WAH1213.BA0861,"$1,475.00",Ships In 3 - 5 Weeks.,Free Shipping,Cyber Monday Sale,WAH1213.BA0861
Classic Chronograph Silver Dial Men's Watch,AR2432,$152.50,In Stock.,Free Shipping,Cyber Monday Sale,AR2432
Sisi Marmalade Acetate Ladies Watch,A248-1877,$93.86,Out of Stock,"","",A248877
CEO Canteen Mother of Pearl Dial 50MM Men's Watch,CE1038,$225.00,Out of Stock,"","",CE1038
Emporio  Classic Men's Watch,AR2427,$131.85,Out of Stock,"","",AR2427
Eco-Drive Sport White Dial Two-tone Ladies Watch,EW3144-51A,$124.99,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,EW3144-51A
Rebel Turquoise Silicone Men's Watch,SUOL700,$48.77,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SUOL700
Harmony Two Tone Stainless Steel Diamond Watch,0606240,$621.40,Out of Stock,"","",0606240
Men's Luno Silver Dial Stainless Steel Watch,0606379,$398.00,Out of Stock,"",Cyber Monday Sale,0606379
T-Classic Le Locle Automatic Men's Watch,T41.1.423.53,$349.00,In Stock.,Free Shipping,Cyber Monday Sale,T41142353
Desire Gold PVD Men's Watch,T52.5.421.13,$165.00,In Stock.,Free Shipping,Cyber Monday Sale,T52542113
T-Classic Dream Black Roman Numeral Dial Ladies Watch,T033.210.11.053.00,$159.00,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,T0332101105300
Classic Dream Mother of Pearl Dial Ladies Watch T0332103311100,T033.210.33.111.00,$209.00,In Stock.,Free Shipping,Cyber Monday Sale,T0332103311100
T-Race Chronograph Quartz Sport Men's Watch,T0484173705700,$435.00,Ships In 1 Day.,Free Shipping,Cyber Monday Sale,T0484173705700
Dylan Chronograph Black Dial Black Rubber Men's Watch,MK8184,$134.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK8184
Timeless Silver Dial Stainless Steel Men's Watch,YA126209,$589.00,Ships In 1 - 2 Days.,Free Shipping,"",YA126209
Timeless GMT Black Leather Strap Men's Watch,YA126212,$939.00,Out of Stock,"","",YA126212
Cruise Ceramic Black Dial Chronograph Unisex Watch,110028,"$1,050.00",Out of Stock,"","",110028
